file,review_method,review_focus,finding_ids,sha256,status,verification
.dockerignore,Direct operational source/configuration review; not executed,".dockerignore: deployment, boundaries, failure handling and referenced paths",F039,db593ce66d2d058a68c498f7f62b102d069b8f68010e79bc58f74c7b319cfadd,inspected; findings open,Not executed; static audit only
.env.example,Direct source or complete structured record review,.env.example: configuration/data and current consumers,,0a048cbe2967767d87b44c5f60ee802bd8a7c2c7c65dffc16402529340d8228b,inspected; no separate finding recorded,Not executed; static audit only
.github/workflows/ci.yml,Direct operational source/configuration review; not executed,"ci.yml: deployment, boundaries, failure handling and referenced paths",,d3f10719e544247c63e3b9800397af8d56851e0889e34e1632dd881e95dbf397,inspected; no separate finding recorded,Not executed; static audit only
.github/workflows/phase2-tenant-isolation.yml,Direct operational source/configuration review; not executed,"phase2-tenant-isolation.yml: deployment, boundaries, failure handling and referenced paths",,9c708bcf8d2ff7f6ab0b5dfa62261c13c8a413788058ec7238fc951eac21b1b9,inspected; no separate finding recorded,Not executed; static audit only
.github/workflows/phase3-financial-proof.yml,Direct operational source/configuration review; not executed,"phase3-financial-proof.yml: deployment, boundaries, failure handling and referenced paths",,71bdc14edf511058834770a78108be0c60fa45d1f19aa59dfeb5b261d4f9bbf9,inspected; no separate finding recorded,Not executed; static audit only
.github/workflows/phase4-provider-verification.yml,Direct operational source/configuration review; not executed,"phase4-provider-verification.yml: deployment, boundaries, failure handling and referenced paths",,c953a211f206cc043d2b2c40e9a6819327b92acc26556f7693c7633b0a2fa14e,inspected; no separate finding recorded,Not executed; static audit only
.github/workflows/phase5-production-assurance.yml,Direct operational source/configuration review; not executed,"phase5-production-assurance.yml: deployment, boundaries, failure handling and referenced paths",F036,8e58a7dc89dfd5807461b79c2985f82f94537ba0c31a0fb1ec6e81819faf817b,inspected; findings open,Not executed; static audit only
.github/workflows/phase6-context-audit.yml,Direct operational source/configuration review; not executed,"phase6-context-audit.yml: deployment, boundaries, failure handling and referenced paths",,fddcb943a628bf3d65f59d45cb636187e50cdf35e1dd0c909eef666897b24ecb,inspected; no separate finding recorded,Not executed; static audit only
.github/workflows/product-audit.yml,Direct operational source/configuration review; not executed,"product-audit.yml: deployment, boundaries, failure handling and referenced paths",,c1a6305ddc8794599087ce58674b0d6f529f17d9b2acd7725b3ee6f201d7037a,inspected; no separate finding recorded,Not executed; static audit only
.gitignore,Direct operational source/configuration review; not executed,".gitignore: deployment, boundaries, failure handling and referenced paths",F039,e3d1eb2170c7abaa4ff970cbc3b27f122f50744859865e2c3be705f1c833ff24,inspected; findings open,Not executed; static audit only
.go-version,Direct source or complete structured record review,.go-version: configuration/data and current consumers,,a90ffbb66539d182e63c702902d74fe39f1c24ef9de746b2b756b856d1ccffba,inspected; no separate finding recorded,Not executed; static audit only
.golangci.yml,Direct source or complete structured record review,.golangci.yml: configuration/data and current consumers,,bdea0d04e06eaab6cc20a91556d749ad2b57ba9cc170ff4fb9237af5db19326e,inspected; no separate finding recorded,Not executed; static audit only
.node-version,Direct source or complete structured record review,.node-version: configuration/data and current consumers,,423b5a2d829f35f2b534f93ad6ae9a59ac2b67fa09e069c704c26c0e435b316f,inspected; no separate finding recorded,Not executed; static audit only
.pnpm-version,Direct source or complete structured record review,.pnpm-version: configuration/data and current consumers,,148e8c8cd9a8711efac1e9279f319d9d7f2e9657b20f2976f06ddfc328b9377c,inspected; no separate finding recorded,Not executed; static audit only
CHANGELOG.md,Direct document review; historical claims not current proof,Changelog: source consistency and evidence limits,,8b3540cf01e85dd3a8a5b8d47963651ded3949ad98a0c31a5ff2666d7bbab077,inspected; no separate finding recorded,Not executed; static audit only
IMPLEMENTATION_PLAN.md,Direct document review; historical claims not current proof,Kredit Production V1 Implementation Plan: source consistency and evidence limits,,6a8c0c2c52b2789d9bd851f47f696c1ae61fd567e9d4ab5410bd146f7e72dfde,inspected; no separate finding recorded,Not executed; static audit only
IMPLEMENTATION_STATUS.md,Direct document review; historical claims not current proof,Implementation Status: source consistency and evidence limits,,6b2dac0513be8c3fc49eafb92dabee163e779bf8d383b63c0bdecd038cc61963,inspected; no separate finding recorded,Not executed; static audit only
KREDIT-CODE-AUDIT.md,Direct document review; historical claims not current proof,Kredit — full platform code audit: source consistency and evidence limits,,050356645060178bcc41fdeec764e21cb52f11f1673754feefbd4ed0301505ff,inspected; no separate finding recorded,Not executed; static audit only
KREDIT-LAUNCH-HANDOVER.md,Direct document review; historical claims not current proof,"Kredit — what changed, and what you must run before you deploy: source consistency and evidence limits",,a345e3cc66949454a9fdb386c6e552e2e8b3f7330f6f2ef937a7d6b2adf271fa,inspected; no separate finding recorded,Not executed; static audit only
KREDIT-TEST-FIXES-ROUND-2.md,Direct document review; historical claims not current proof,Round two: the ten remaining browser failures: source consistency and evidence limits,,525f4f1747edbcc00f5e8cf5f30b7b6ad7583932a55849d37c1b118ab969efb2,inspected; no separate finding recorded,Not executed; static audit only
KREDIT-TEST-FIXES.md,Direct document review; historical claims not current proof,"What the first full test run found, and what I changed: source consistency and evidence limits",,32a8f15b897802de872df27f229e877ea339eacb9fe0b43f148fc79ec4112f7d,inspected; no separate finding recorded,Not executed; static audit only
Kredit_Local_Launch_Master_Prompt_v2_2026-09-07.md,Direct document review; historical claims not current proof,Kredit — Local launch implementation and full design/content overhaul: source consistency and evidence limits,,d9624bf18767443c7b87a66cb78633b9f57ca89220b29f997e6a73644f761d29,inspected; no separate finding recorded,Not executed; static audit only
README.local.md,Direct document review; historical claims not current proof,Local development quick start: source consistency and evidence limits,,e00a780169bbe3b75207382e6398ea8bca61be78880d9180a72fc5b9d3b16af6,inspected; no separate finding recorded,Not executed; static audit only
README.md,Direct document review; historical claims not current proof,Kredit: source consistency and evidence limits,F002,60f5425c789de3a22c7cf506e2dca801e38e183b1cf0c6e23cc88255d40f4ed7,inspected; findings open,Not executed; static audit only
SECURITY.md,Direct document review; historical claims not current proof,Security policy: source consistency and evidence limits,,b6896156fee300ea36488d8f24249cc7ec24f66080149425ae2961190fd2cc1a,inspected; no separate finding recorded,Not executed; static audit only
Taskfile.yml,Direct operational source/configuration review; not executed,"Taskfile.yml: deployment, boundaries, failure handling and referenced paths",F037,27a6e74bb63eb365fdf5114258cf94769b45e0b711795595cfaccb55a6570f34,inspected; findings open,Not executed; static audit only
api/openapi.yaml,Direct source or complete structured record review,openapi.yaml: configuration/data and current consumers,,2a454b41e9faeac14f97d49b375fcd8fa4a2391e9254770580c598a356c3459d,inspected; no separate finding recorded,Not executed; static audit only
cmd/api/main.go,Direct source or complete structured record review,main.go: configuration/data and current consumers,,7e2ad155ab4238a652cabb166c6156ce90eb1cc49a4d1e333a8c524739c06003,inspected; no separate finding recorded,Not executed; static audit only
cmd/api/main_test.go,Test source read; not executed,"main_test: fixtures, assertions and production equivalence",,3e7cb8f5f38044f6a42f76abd98e59d7cff3b31ac56f4c0d801bc41d965d4eec,inspected; no separate finding recorded,Not executed; static audit only
cmd/bootstrap-owner/main.go,Direct source or complete structured record review,main.go: configuration/data and current consumers,,3697f5359a6314abd241ffb23699184dc37952433ec8865beb6600c51ecdba4f,inspected; no separate finding recorded,Not executed; static audit only
cmd/bootstrap-owner/main_test.go,Test source read; not executed,"main_test: fixtures, assertions and production equivalence",,f54f0ba70e98f7572ff9c7b91a238b8a77f9f84ccc976f116abc55aed1dfe7a9,inspected; no separate finding recorded,Not executed; static audit only
cmd/configcheck/main.go,Direct source or complete structured record review,main.go: configuration/data and current consumers,,05be9f1e756c81a8f852d569c7e1482ac86ba74f5ca0667246fd0d54cca6fa16,inspected; no separate finding recorded,Not executed; static audit only
cmd/configcheck/main_test.go,Test source read; not executed,"main_test: fixtures, assertions and production equivalence",,fc3d7499f64f560596a8e4d8b9f30de85e65210f4bb24bbea63b5897b8ddbec8,inspected; no separate finding recorded,Not executed; static audit only
cmd/migrate/main.go,Direct source or complete structured record review,main.go: configuration/data and current consumers,,c1044c424e4c6d6f16044d851013c88d3cfadfabf405423e0dd46964a5e2afd1,inspected; no separate finding recorded,Not executed; static audit only
cmd/migrate/main_test.go,Test source read; not executed,"main_test: fixtures, assertions and production equivalence",,ffc184d2433a337995691e8b52f8f1fadd2755e56c8998e3f668fdbf6b546c82,inspected; no separate finding recorded,Not executed; static audit only
cmd/provider-simulator/main.go,Direct source or complete structured record review,main.go: configuration/data and current consumers,,adf4b1417475adfbfb0b0257ef6b960ab60ea2661687628875e1c400c0a8c61d,inspected; no separate finding recorded,Not executed; static audit only
cmd/provider-simulator/main_test.go,Test source read; not executed,"main_test: fixtures, assertions and production equivalence",,b54b4c6f13f8eaa54c015cea1932be754c595a6782dcba4b09e0a08b9fe62e06,inspected; no separate finding recorded,Not executed; static audit only
cmd/reconcile/main.go,Direct source or complete structured record review,main.go: configuration/data and current consumers,,411e17bb6d6564521fc884dfeb4c27e5a08b0020b56e07484ace4d0ab7194d2b,inspected; no separate finding recorded,Not executed; static audit only
cmd/reconcile/main_test.go,Test source read; not executed,"main_test: fixtures, assertions and production equivalence",,762b439db644e39de1f7c6b7ea12157be35f23e205d5d74dca31a3229d67cdcb,inspected; no separate finding recorded,Not executed; static audit only
cmd/seed/main.go,Direct source or complete structured record review,main.go: configuration/data and current consumers,,1dd553663628cf5551c04959bd710b6b33deecd3d7cbf27b27d23afc18687e86,inspected; no separate finding recorded,Not executed; static audit only
cmd/seed/main_test.go,Test source read; not executed,"main_test: fixtures, assertions and production equivalence",,ce5951811b5dbfa1792389d4462188465ef919653a9802dd50ea856ee4dbc0eb,inspected; no separate finding recorded,Not executed; static audit only
cmd/worker/main.go,Direct source or complete structured record review,main.go: configuration/data and current consumers,,8632568988f2a63434e09d175b04de50e53ce25381a5d9cd4d54198c4794c0e8,inspected; no separate finding recorded,Not executed; static audit only
cmd/worker/main_test.go,Test source read; not executed,"main_test: fixtures, assertions and production equivalence",,94c81e805ba8bed55852fc99b65c70a6f04ccf50c905c13b558f0681e35677bc,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/001_initial.sql,Full SQL source review; not applied,"Migration 001: initial; Up/Down, policies and later definitions",,a65395da301cd356eb0b9f5d367522e8e252be8c2668728147981e0657d8954f,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/002_milestone1_auth_org.sql,Full SQL source review; not applied,"Migration 002: milestone1 auth org; Up/Down, policies and later definitions",,185630a21d73ad76e9843652bf29d4bf8772481ac2d75038ef8b0125d85666cd,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/003_milestone2_buyers_identity.sql,Full SQL source review; not applied,"Migration 003: milestone2 buyers identity; Up/Down, policies and later definitions",,a30afc81e5ee961477aac0b458d0022c761b8d6195024fac2bb258f5cc61fc19,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/004_milestone3_credit_ledger.sql,Full SQL source review; not applied,"Migration 004: milestone3 credit ledger; Up/Down, policies and later definitions",,0910dcc5f2f3fb09e94d240913faa6e71eb40d822eed7516c46b8678d7b46766,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/005_milestone4_payments.sql,Full SQL source review; not applied,"Migration 005: milestone4 payments; Up/Down, policies and later definitions",,62538a8e3be4dfc05f136d9afe192fa6a8ed75d4b53e585f3e294b8d4cc2cf76,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/006_milestone5_schedules.sql,Full SQL source review; not applied,"Migration 006: milestone5 schedules; Up/Down, policies and later definitions",,33b4911a0402ad6c8145a9c8dea87abcc1ff048190e4050a718f2c2ddbe02cc2,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/007_milestone6_trade_lines.sql,Full SQL source review; not applied,"Migration 007: milestone6 trade lines; Up/Down, policies and later definitions",,617e9b61767de34442a048f76c7c7d45ef9112c142d62d7833373d6a1eedb2f6,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/008_milestone7_collections.sql,Full SQL source review; not applied,"Migration 008: milestone7 collections; Up/Down, policies and later definitions",,a1cf19ce341a1705b95c23c2bab04c25653175cda2ae90935b8bdd70bb4caba4,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/009_milestone8_disputes_operations.sql,Full SQL source review; not applied,"Migration 009: milestone8 disputes operations; Up/Down, policies and later definitions",,bd73d2a615ae0f3ffece074afb522c5500631317ae8a8824bb3d8259cac807c0,inspected; no separate finding recorded,Not executed; static audit only
