2026/09/07 20:51:31 OK   001_initial.sql (65.31ms)
2026/09/07 20:51:32 OK   002_milestone1_auth_org.sql (157.64ms)
2026/09/07 20:51:32 OK   003_milestone2_buyers_identity.sql (127.4ms)
2026/09/07 20:51:32 OK   004_milestone3_credit_ledger.sql (123.58ms)
2026/09/07 20:51:32 OK   005_milestone4_payments.sql (41.67ms)
2026/09/07 20:51:32 OK   006_milestone5_schedules.sql (22.86ms)
2026/09/07 20:51:32 OK   007_milestone6_trade_lines.sql (32.58ms)
2026/09/07 20:51:32 OK   008_milestone7_collections.sql (30.12ms)
2026/09/07 20:51:32 OK   009_milestone8_disputes_operations.sql (37.4ms)
2026/09/07 20:51:32 OK   010_milestone9_notifications_whatsapp.sql (30.47ms)
2026/09/07 20:51:32 OK   011_milestone10_reporting_history.sql (23.91ms)
2026/09/07 20:51:32 OK   012_milestone11_provider_adapter.sql (38.83ms)
2026/09/07 20:51:32 OK   013_milestone12_release_readiness.sql (50.18ms)
2026/09/07 20:51:32 OK   014_river_jobs_schema.sql (3.2ms)
2026/09/07 20:51:32 OK   015_missing_domain_tables.sql (118.63ms)
2026/09/07 20:51:32 OK   016_financial_core_hardening.sql (99.33ms)
2026/09/07 20:51:32 OK   017_worker_operations.sql (70.85ms)
2026/09/07 20:51:32 OK   018_security_hardening.sql (3.32ms)
2026/09/07 20:51:32 OK   019_runtime_role_policies.sql (15.45ms)
2026/09/07 20:51:33 OK   020_auth_persistence_primitives.sql (13.17ms)
2026/09/07 20:51:33 OK   021_organization_persistence_primitives.sql (6.25ms)
2026/09/07 20:51:33 OK   022_network_and_mandates.sql (72.26ms)
2026/09/07 20:51:33 OK   023_buyer_persistence_primitives.sql (8.8ms)
2026/09/07 20:51:33 OK   024_credit_aggregate_snapshots.sql (24.94ms)
2026/09/07 20:51:33 OK   025_mandate_lookup_function.sql (3.64ms)
2026/09/07 20:51:33 OK   026_mandate_lookup_owner.sql (3.54ms)
2026/09/07 20:51:33 OK   027_credit_snapshot_tenant_functions.sql (2.38ms)
2026/09/07 20:51:33 OK   028_outbox_processing_lease.sql (3.14ms)
2026/09/07 20:51:33 OK   029_runtime_domain_repository_policies.sql (5.51ms)
2026/09/07 20:51:33 OK   030_schedule_repository_runtime_policy.sql (4.02ms)
2026/09/07 20:51:33 OK   031_atomic_payment_repository.sql (11.62ms)
2026/09/07 20:51:33 OK   032_supplier_customer_directory.sql (3.38ms)
2026/09/07 20:51:33 OK   033_fix_ledger_balance_trigger.sql (1.93ms)
2026/09/07 20:51:33 OK   034_trade_line_runtime_policy.sql (6.16ms)
2026/09/07 20:51:33 OK   035_collection_aggregate_repository.sql (26.03ms)
2026/09/07 20:51:33 OK   036_corrections_runtime_policy.sql (3.6ms)
2026/09/07 20:51:33 OK   037_dispute_operation_runtime_policy.sql (6.81ms)
2026/09/07 20:51:33 OK   038_notification_delivery_repository.sql (6.62ms)
2026/09/07 20:51:33 OK   039_analytics_runtime_policy.sql (1.97ms)
2026/09/07 20:51:33 OK   040_messaging_runtime_policy.sql (2.35ms)
2026/09/07 20:51:33 OK   041_notification_delivery_recovery.sql (9.89ms)
2026/09/07 20:51:33 OK   042_platform_operations_roles.sql (19.35ms)
2026/09/07 20:51:33 OK   043_fix_auth_user_upsert_ambiguity.sql (3.43ms)
2026/09/07 20:51:33 OK   044_payment_sources_and_claims.sql (35.56ms)
2026/09/07 20:51:33 OK   045_trade_line_mandate_integrity.sql (12.28ms)
2026/09/07 20:51:33 OK   046_trade_line_drawdown_lifecycle.sql (48.44ms)
2026/09/07 20:51:33 OK   047_supplier_onboarding_readiness.sql (49.46ms)
2026/09/07 20:51:33 OK   048_user_control_and_privacy.sql (286.03ms)
2026/09/07 20:51:33 OK   049_operations_controls.sql (128.76ms)
2026/09/07 20:51:34 OK   050_product_analytics.sql (549.01ms)
2026/09/07 20:51:34 OK   051_analytics_contract_completion.sql (33.5ms)
2026/09/07 20:51:34 OK   052_sweep_collection_safety.sql (301.97ms)
2026/09/07 20:51:34 OK   053_payment_reversal_integrity.sql (4.49ms)
2026/09/07 20:51:34 OK   054_collection_eligibility_lock.sql (3.81ms)
2026/09/07 20:51:34 OK   055_durable_financial_notices.sql (12.07ms)
2026/09/07 20:51:35 OK   056_financial_reconciliation.sql (449.85ms)
2026/09/07 20:51:35 OK   057_collection_notice_delivery.sql (23.52ms)
2026/09/07 20:51:35 OK   058_operations_intent_integrity.sql (3.32ms)
2026/09/07 20:51:35 OK   059_adjustment_notification_evidence.sql (6.21ms)
2026/09/07 20:51:35 OK   060_provider_reversal_review.sql (11.65ms)
2026/09/07 20:51:35 OK   061_business_policies.sql (381.41ms)
2026/09/07 20:51:35 OK   062_policy_enforcement_and_fee_terms.sql (18.52ms)
2026/09/07 20:51:35 OK   063_preserve_existing_commitments.sql (7.97ms)
2026/09/07 20:51:35 OK   064_admin_workflows.sql (206.32ms)
2026/09/07 20:51:35 OK   065_admin_attention_details.sql (11.02ms)
2026/09/07 20:51:35 OK   066_admin_support_review_queue.sql (18.54ms)
2026/09/07 20:51:35 OK   067_canonical_phone_identifiers.sql (14.34ms)
2026/09/07 20:51:35 OK   068_session_idle_and_mfa_throttle.sql (13.04ms)
2026/09/07 20:51:35 OK   069_shared_authentication_rate_limits.sql (38.42ms)
2026/09/07 20:51:35 OK   070_deemed_acceptance_evidence.sql (3.52ms)
2026/09/07 20:51:35 OK   071_audit_financial_integrity.sql (28.72ms)
2026/09/07 20:51:35 OK   072_repair_audit_legacy_state.sql (7.43ms)
2026/09/07 20:51:35 OK   073_audit_security_invariants.sql (12.12ms)
2026/09/07 20:51:35 OK   074_mfa_replay_and_rotation.sql (2.12ms)
2026/09/07 20:51:36 OK   075_document_upload_lifecycle.sql (11.19ms)
2026/09/07 20:51:36 OK   076_buyer_notice_acknowledgement.sql (18.61ms)
2026/09/07 20:51:36 OK   077_document_tenant_rls.sql (2.9ms)
2026/09/07 20:51:36 OK   078_runtime_role_idempotency.sql (3.47ms)
2026/09/07 20:51:36 OK   079_notice_acknowledgement_permissions.sql (6.47ms)
2026/09/07 20:51:36 OK   080_collected_payment_reversal_provenance.sql (2.05ms)
2026/09/07 20:51:36 OK   081_phase2_tenant_isolation.sql (38.89ms)
2026/09/07 20:51:36 OK   082_phase2_collection_tenant_isolation.sql (9.63ms)
2026/09/07 20:51:36 OK   083_phase2_buyer_evidence_guard.sql (7.68ms)
2026/09/07 20:51:36 OK   084_phase2_collection_worker_boundaries.sql (11.8ms)
2026/09/07 20:51:36 OK   085_phase2_provider_collection_identity.sql (1.74ms)
2026/09/07 20:51:36 OK   086_phase5_financial_monitoring.sql (4.88ms)
2026/09/07 20:51:36 OK   087_owner_super_admin_controls.sql (55.17ms)
2026/09/07 20:51:36 OK   088_settings_history_immutable.sql (5.89ms)
2026/09/07 20:51:36 OK   089_owner_lifecycle_guard.sql (16.5ms)
2026/09/07 20:51:36 OK   090_governance_fail_closed.sql (2.82ms)
2026/09/07 20:51:36 goose: successfully migrated database to version: 90
database migrations are up to date
