route,source,audience,desktop_guest,mobile_guest,authenticated_populated,exception_states
/,web/src/routes/+page.svelte,public,VERIFIED_LOCAL,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin,web/src/routes/admin/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/analytics,web/src/routes/admin/analytics/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/approvals,web/src/routes/admin/approvals/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/attention,web/src/routes/admin/attention/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/audit,web/src/routes/admin/audit/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/cases,web/src/routes/admin/cases/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/cases/[id],web/src/routes/admin/cases/[id]/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/controls,web/src/routes/admin/controls/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/diagnostics,web/src/routes/admin/diagnostics/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/disputes,web/src/routes/admin/disputes/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/disputes/[id],web/src/routes/admin/disputes/[id]/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/history,web/src/routes/admin/history/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/inbox,web/src/routes/admin/inbox/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/jobs,web/src/routes/admin/jobs/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/money,web/src/routes/admin/money/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
